ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-328-3p,MIMAT0000752,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-769-5p,MIMAT0003886,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-769-5p,MIMAT0003886,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-769-5p,MIMAT0003886,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-769-5p,MIMAT0003886,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-769-5p,MIMAT0003886,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-769-5p,MIMAT0003886,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-769-5p,MIMAT0003886,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-769-5p,MIMAT0003886,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-940,MIMAT0004983,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-940,MIMAT0004983,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-940,MIMAT0004983,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-940,MIMAT0004983,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-940,MIMAT0004983,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-940,MIMAT0004983,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-940,MIMAT0004983,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-940,MIMAT0004983,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TUBB,203068,"RNA-Seq, Microarrays",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TUBB,203068,"RNA-Seq, Microarrays",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TUBB,203068,"RNA-Seq, Microarrays",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TUBB,203068,"RNA-Seq, Microarrays",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TUBB,203068,"RNA-Seq, Microarrays",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TUBB,203068,"RNA-Seq, Microarrays",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TUBB,203068,"RNA-Seq, Microarrays",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TUBB,203068,"RNA-Seq, Microarrays",tarbase,Peripheral blood
hsa-mir-126-3p,MIMAT0000445,TUBB,203068,Microarrays,tarbase,Peripheral blood
hsa-mir-126-3p,MIMAT0000445,TUBB,203068,Microarrays,tarbase,Peripheral blood
hsa-mir-126-3p,MIMAT0000445,TUBB,203068,Microarrays,tarbase,Peripheral blood
hsa-mir-126-3p,MIMAT0000445,TUBB,203068,Microarrays,tarbase,Peripheral blood
hsa-mir-126-3p,MIMAT0000445,TUBB,203068,Microarrays,tarbase,Peripheral blood
hsa-mir-126-3p,MIMAT0000445,TUBB,203068,Microarrays,tarbase,Peripheral blood
hsa-mir-126-3p,MIMAT0000445,TUBB,203068,Microarrays,tarbase,Peripheral blood
hsa-mir-126-3p,MIMAT0000445,TUBB,203068,Microarrays,tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TNF,7124,"ELISA, qPCR",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TNF,7124,"ELISA, qPCR",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TNF,7124,"ELISA, qPCR",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TNF,7124,"ELISA, qPCR",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TNF,7124,"ELISA, qPCR",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TNF,7124,"ELISA, qPCR",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TNF,7124,"ELISA, qPCR",tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TNF,7124,"ELISA, qPCR",tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TNF,7124,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TNF,7124,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TNF,7124,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TNF,7124,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TNF,7124,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TNF,7124,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TNF,7124,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TNF,7124,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-99a-5p,MIMAT0000097,CCL5,6352,Microarrays,tarbase,Peripheral blood
hsa-mir-99a-5p,MIMAT0000097,CCL5,6352,Microarrays,tarbase,Peripheral blood
