"","GSM650876.CEL.gz","GSM650877.CEL.gz","GSM650878.CEL.gz","GSM650879.CEL.gz","GSM650880.CEL.gz","GSM650883.CEL.gz","GSM650885.CEL.gz","GSM650923.CEL.gz","GSM650924.CEL.gz","GSM650930.CEL.gz","GSM650931.CEL.gz","GSM650944.CEL.gz","GSM650946.CEL.gz","GSM650950.CEL.gz","GSM650951.CEL.gz","GSM650954.CEL.gz","GSM650959.CEL.gz","GSM650968.CEL.gz","GSM650969.CEL.gz","GSM650970.CEL.gz","GSM650975.CEL.gz"
"LINC00339",6.934694,7.623241,6.835117,7.870638,6.852056,7.237873,7.177194,6.852259,6.970396,6.525611,6.953419,7.052828,7.165059,7.212104,7.185103,6.867442,6.701501,6.693247,6.629296,6.858841,7.20552
"RPL11",10.264736,9.294463,9.002326,9.391733,9.210497,9.839437,9.756468,8.869756,8.174729,8.391847,8.061292,7.854386,9.284046,10.550413,8.620011,9.139342,8.477219,8.783302,8.654408,9.010247,7.974534
"PITHD1",7.810869,7.461658,7.864808,7.3979,8.205643,7.659064,8.152786,7.505372,7.447169,8.058405,7.816728,7.563919,8.993284,7.473403,7.510487,7.981863,7.614707,7.779876,7.74376,8.051936,8.589588
"RHD",5.769509,5.755782,5.891475,5.626169,6.013164,5.95714,5.883109,6.185831,5.921681,6.681599,6.598604,4.96757,6.908905,5.568271,6.260676,5.841648,5.743156,6.024366,5.928833,6.105604,5.739895
"TMEM50A",10.157442,9.785955,10.08891,9.835461,9.762895,10.286334,9.683483,10.073404,10.282652,10.898217,11.206757,10.638146,11.058963,10.848244,11.150011,10.977188,10.92682,10.845043,10.953731,11.031386,10.876727
"LDLRAP1",8.123919,8.567773,9.208916,8.860063,8.907137,8.622846,8.822084,8.401134,8.831552,9.634088,9.079378,9.193167,9.420564,9.833821,9.320531,9.515161,9.384981,9.26047,9.35499,9.291074,9.479257
"PDIK1L",7.41087,7.443945,7.507268,7.333788,7.551741,7.642857,7.601625,7.232414,7.263717,6.615096,6.702451,6.519059,6.965453,7.137929,6.609666,6.71201,6.778993,6.649383,7.011328,6.856652,6.893755
"CD52",10.643119,10.958545,10.078298,10.322758,9.737347,10.140104,10.511955,9.744844,9.463091,11.454103,10.908559,10.860995,11.85987,12.169657,11.529987,11.192763,11.146018,11.686013,11.483666,11.527982,11.384198
"ARID1A",8.313745,9.082356,9.306294,8.602466,8.804753,9.120833,8.859023,8.812807,9.456453,9.315352,9.712713,9.764574,8.999828,9.110411,9.543809,9.348822,9.439506,9.29023,9.312199,9.076564,9.65146
"ZDHHC18",10.126688,10.020309,9.963758,8.992816,9.804685,9.94622,9.733672,10.295402,10.49256,10.217812,11.196374,10.606467,10.255854,9.95601,10.323214,10.612379,10.201411,10.159971,10.281242,10.219617,10.275949
"TMA7",6.450877,6.081687,3.975371,4.724819,5.343474,5.885106,4.224826,3.299219,5.534554,6.402863,5.218536,5.352598,6.820342,7.590814,5.491144,6.974204,6.218847,6.280044,7.441387,6.463911,6.114539
"SCARNA1",6.188317,6.670191,6.112475,5.748338,6.317394,6.497132,5.928031,5.554713,5.825588,5.529512,5.362224,5.394198,5.725512,5.781588,5.520694,5.61412,5.503036,5.621783,5.409923,5.500637,5.908125
"THEMIS2",8.811627,9.133201,8.93651,8.445085,9.03941,9.169352,8.745884,8.896098,9.599371,9.548032,10.392511,10.208291,9.947998,9.291018,9.956697,10.017637,9.862671,9.685004,9.83229,10.084691,9.989575
"PHACTR4",7.879768,8.690391,8.549077,8.076402,8.131351,8.341223,8.16013,7.541015,8.55452,9.095413,9.036551,9.451591,8.999088,8.746165,9.28501,8.874743,8.980374,9.186213,9.462231,8.916596,9.365124
"EPB41",10.730568,11.300914,11.373352,11.123471,11.683574,11.251531,11.465858,10.900385,11.057495,10.253748,10.637865,10.205751,10.763798,10.161194,10.485586,10.754804,10.356949,10.565162,10.529631,10.492895,10.915143
"LCK",9.220325,9.469001,9.509358,9.498984,9.470243,9.224429,9.484611,9.37958,9.290685,10.179043,9.609294,9.852849,10.170842,10.383871,10.143486,10.150824,10.13797,10.019544,9.973774,10.000759,10.133832
"HDAC1",9.789226,10.444084,10.404288,10.268669,10.263656,10.275711,10.328575,9.886597,10.317355,9.863824,9.316885,9.652876,9.761289,9.892802,9.863385,9.878418,9.78098,9.743791,9.834064,9.967072,9.735312
"ZNF362",7.470381,8.096957,7.87729,7.784044,7.704966,7.531967,7.747435,8.017953,7.795119,8.553993,8.472514,8.544022,8.704221,8.583243,8.337615,8.677379,8.317577,8.336117,8.420918,8.457491,8.494351
"ZMYM1",7.106166,7.587889,7.562253,7.345408,7.792795,8.006831,7.663346,6.83371,7.551141,6.916624,6.655044,6.659993,7.132465,7.315834,6.963626,7.199637,6.891344,6.769753,6.912715,7.072251,7.28094
"NCDN",7.613401,7.481668,7.773844,7.885803,7.64259,7.465798,7.765395,7.917517,7.784028,8.439198,8.312305,8.482541,8.249401,8.570465,8.370635,8.437752,8.304236,8.44613,8.273904,8.260932,8.384309
"AGO4",9.781023,9.44677,9.475585,8.736081,9.384321,9.743619,9.200102,9.610641,10.137012,8.49529,9.343037,9.247657,8.985362,8.477081,9.161265,9.31765,8.775879,8.882149,9.121333,9.294708,8.974631
